search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
Casava insurance,com.finceptive.casa,Casa Bank,Casa Bank,"5,000+",34.0,22,3.6764705,Finance,False,not_ng_insurance
Consolidated Hallmark Insurance,com.covenantmfb.mobileapp,CovenantMFB - Edge Banking,Covenant Microfinance Bank,"10,000+",56.0,21,3.6964285,Finance,False,not_ng_insurance
Cornerstone Takaful,com.edcast,Cornerstone LearningExperience,EdCast Inc.,"500,000+",3694.0,18,3.580645,Education,False,not_ng_insurance
AIICO Multishield,com.aiicocapital.aiicoinvest,AIICO Invest,AIICO Capital,"5,000+",27.0,17,4.3333335,Finance,False,not_ng_insurance
Prestige Assurance,ng.carbontech.prestigemfb,Prestige Mobile,CarbonTech Limited,"1,000+",21.0,17,3.7142856,Finance,False,not_ng_insurance
Nigerian Agricultural Insurance,com.lagetronix.fgbmfi,FGBMFI Nigeria,Lagetronix,"5,000+",31.0,17,4.451613,Events,False,not_ng_insurance
Custodian Insurance Nigeria,com.custodian.investment.live,Custodian Investment,Custodian Investment Plc,"5,000+",26.0,16,3.8846154,Productivity,False,not_ng_insurance
Sanlam Nigeria,za.co.sanlam.mobile,Sanlam Portfolio,Sanlam,"100,000+",3959.0,16,3.7560976,Finance,False,not_ng_insurance
Sanlam Nigeria,co.opensi.mobilsaham,Mobile Sanlam,OPEN SI,"50,000+",185.0,16,3.2162163,Business,False,not_ng_insurance
Noor Takaful,ps.goldendeveloper.alnoor,Noor Play,MITHAQ MEDIA PRODUCTION,"5,000,000+",30497.0,14,3.5757575,Entertainment,False,not_ng_insurance
Wella Health Nigeria,com.wellahealth.wellareport,WellaPartner,WellaHealth Technologies,"1,000+",29.0,13,4.571429,Medical,False,agent_or_provider
Heirs Life Assurance,com.heirsinsurance.agency.app,Agency App by Heirs- Beta,HEIRS GENERAL INSURANCE LIMITED,"5,000+",39.0,11,3.7948718,Finance,False,agent_or_provider
Wapic Insurance,com.marshmallow.marshmallow,Marshmallow Insurance,Marshmallow Insurance,"100,000+",12183.0,10,4.6458335,Finance,False,not_ng_insurance
Hygeia HMO,com.phillipshmo,Phillips HMO Mobile,Phillips Health Management Service,"5,000+",28.0,9,3.4285715,Health & Fitness,False,not_ng_insurance
THT Nigeria health,com.tht.apprelease,THT Mobile,Health Insurance,"5,000+",14.0,9,2.7857144,Health & Fitness,False,not_ng_insurance
Custodian Insurance Nigeria,com.guardian.guardian_news,The Guardian Nigeria,Guardian Newspapers Limited,"1,000+",18.0,8,4.6666665,News & Magazines,False,not_ng_insurance
AIICO Multishield,com.minimax.ai,MiniMax - Your AI Agent,MiniMax AI,"1,000,000+",1455.0,7,4.2173915,Productivity,False,not_ng_insurance
Regency Alliance Insurance,com.regentmobile.regentmobilemobile,RegentMFB,RegentMFB,"1,000+",19.0,7,4.0526314,Finance,False,not_ng_insurance
Nigerian Agricultural Insurance,com.BanqueMisr.MobileBanking,BM Online,Banque Misr,"5,000,000+",267431.0,7,4.448276,Finance,False,not_ng_insurance
Heirs Life Assurance,com.ipru.iciciprulife.customer.release,ICICI Prudential Life App,ICICI Prudential Life Insurance,"1,000,000+",95139.0,7,4.7222223,Finance,False,not_ng_insurance
Songhai Health Trust,com.songhai.hmo,Songhai HMO,LionTech Systems,500+,8.0,6,4.5,Health & Fitness,False,not_ng_insurance
Lasaco Assurance,ng.adspace.lasaamobile,LASAA Mobile,AdspaceMedia Technologies,"5,000+",36.0,6,4.7222223,Tools,False,not_ng_insurance
International Energy Insurance,com.quickteller.energy,Quickteller Energy,Interswitch Limited,100+,8.0,6,4.5,Productivity,False,not_ng_insurance
NHIA Nigeria,gh.gov.nhis.android.nma,MyNHIS,OeSD Int Software,"100,000+",960.0,6,3.7142856,Health & Fitness,False,not_ng_insurance
African Alliance Insurance,com.phatisa.irrapp,Africa Private Equity News,Africa Private Equity News,"10,000+",188.0,5,4.8235292,Business,False,not_ng_insurance
Noor Takaful,com.noor.dev,Noor Health Member Hub,NoorICT,500+,5.0,5,5.0,Health & Fitness,False,not_ng_insurance
Bluewave insurance,com.catinaboxgames.bluedefense2,Blue Defense: Second Wave!,Cat in a Box Software,"100,000+",739.0,5,4.0,Arcade,False,not_ng_insurance
car insurance Nigeria,com.icarslist.nigeriacarmart,Nigeria Car Mart,iCarsList Network,"5,000+",13.0,5,4.4615383,Auto & Vehicles,False,not_ng_insurance
